movie_title,title_year
Analyze This ,1999
The Notebook ,2004
27 Dresses ,2008
Hannah Montana: The Movie ,2009
Rugrats in Paris: The Movie ,2000
The Prince of Tides ,1991
Legends of the Fall ,1994
Up in the Air ,2009
About Schmidt ,2002
Warm Bodies ,2013
Looper ,2012
Down to Earth ,2001
Babe ,1995
Hope Springs ,2012
Forgetting Sarah Marshall ,2008
Winged Migration ,2001
Four Brothers ,2005
Baby Mama ,2008
Hope Floats ,1998
Bride Wars ,2009
Without a Paddle ,2004
13 Going on 30 ,2004
Midnight in Paris ,2011
The Nut Job ,2014
Blow ,2001
Message in a Bottle ,1999
Star Trek V: The Final Frontier ,1989
Like Mike ,2002
Naked Gun 33 1/3: The Final Insult ,1994
A View to a Kill ,1985
The Curse of the Were-Rabbit ,2005
P.S. I Love You ,2007
Racing Stripes ,2005
Atonement ,2007
Letters to Juliet ,2010
Limitless ,0
Black Rain ,1989
The Three Stooges ,2012
Corpse Bride ,2005
Glory Road ,2006
Sicario ,2015
Southpaw ,2015
Drag Me to Hell ,2009
The Age of Adaline ,2015
Secondhand Lions ,2003
Step Up 3D ,2010
Blue Crush ,2002
Stranger Than Fiction ,2006
30 Days of Night ,2007
The Cabin in the Woods ,2012
Meet the Spartans ,2008
The Honeymooners ,0
Midnight Run ,1988
The Running Man ,1987
Little Shop of Horrors ,1986
Hanna ,2011
Mortal Kombat: Annihilation ,1997
Larry Crowne ,2011
Take the Lead ,2006
Gridiron Gang ,2006
What's the Worst That Could Happen? ,2001
9 ,2009
The Prince and Me ,2004
Winnie the Pooh ,2011
Dumb and Dumberer: When Harry Met Lloyd ,2003
Bulworth ,1998
Get on Up ,2014
One True Thing ,1998
Virtuosity ,1995
My Super Ex-Girlfriend ,2006
Deliver Us from Evil ,2014
Sanctum ,2011
Little Black Book ,2004
The Five-Year Engagement ,2012
Mr 3000 ,2004
It's Always Sunny in Philadelphia ,0
The Next Three Days ,2010
Ultraviolet ,2006
Assault on Precinct 13 ,2005
The Replacement Killers ,1998
Fled ,1996
Eight Legged Freaks ,2002
Love & Other Drugs ,2010
88 Minutes ,2007
North Country ,2005
The Whole Ten Yards ,2004
Splice ,2009
Howard the Duck ,1986
Pride and Glory ,2008
The Cave ,2005
Alex & Emma ,2003
Fright Night ,2011
The New World ,2005
Wing Commander ,1999
In Dreams ,1999
Dragonball: Evolution ,2009
The Last Stand ,2013
Godsend ,2004
Hoodwinked Too! Hood vs. Evil ,2011
An Unfinished Life ,2005
The Imaginarium of Doctor Parnassus ,2009
Barney's Version ,2010
Runner Runner ,2013
Antitrust ,2001
Once Upon a Time in America ,1984
Dead Man Down ,2013
The Merchant of Venice ,2004
The Good Thief ,2002
Supercross ,2005
Miss Potter ,2006
The Promise ,2005
DOA: Dead or Alive ,2006
The Assassination of Jesse James by the Coward Robert Ford ,2007
1911 ,2011
Little Nicholas ,2009
Wild Card ,2015
Machine Gun Preacher ,2011
Animals United ,2010
The Color of Freedom ,2007
United Passions ,2014
Grace of Monaco ,2014
A Warrior's Tail ,2015
Ripley's Game ,2002
Sausage Party ,2016
Pitch Perfect 2 ,2015
Walk the Line ,2005
Keeping the Faith ,2000
The Borrowers ,1997
Frost/Nixon ,2008
Confessions of a Dangerous Mind ,2002
Serving Sara ,2002
The Boss ,2016
Cry Freedom ,1987
Mumford ,1999
Seed of Chucky ,2004
The Jacket ,2005
Aladdin ,1992
Straight Outta Compton ,2015
Indiana Jones and the Temple of Doom ,1984
The Rugrats Movie ,1998
Along Came a Spider ,2001
Florence Foster Jenkins ,2016
Once Upon a Time in Mexico ,2003
Die Hard ,1988
Role Models ,2008
The Big Short ,2015
Taking Woodstock ,2009
Miracle ,2004
The Wedding Planner ,2001
Harlock: Space Pirate ,2013
The Royal Tenenbaums ,2001
Identity ,2003
Last Vegas ,2013
For Your Eyes Only ,1981
Serendipity ,2001
Timecop ,1994
Zoolander ,2001
Safe Haven ,2013
Hocus Pocus ,1993
No Reservations ,2007
Kick-Ass ,2010
30 Minutes or Less ,2011
Dracula 2000 ,2000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",2014
Pride & Prejudice ,2005
Blade Runner ,1982
Rob Roy ,1995
3 Days to Kill ,2014
We Own the Night ,2007
Lost Souls ,2000
Just My Luck ,2006
"Mystery, Alaska ",1999
The Spy Next Door ,2010
A Simple Wish ,1997
Ghosts of Mars ,2001
Our Brand Is Crisis ,2015
Pride and Prejudice and Zombies ,2016
Kundun ,1997
How to Lose Friends & Alienate People ,2008
Kick-Ass 2 ,2013
Shaun the Sheep ,0
Captain Alatriste: The Spanish Musketeer ,2006
Brick Mansions ,2014
Octopussy ,1983
Knocked Up ,2007
My Sister's Keeper ,2009
"Welcome Home, Roscoe Jenkins ",2008
A Passage to India ,1984
Notes on a Scandal ,2006
Rendition ,2007
Star Trek VI: The Undiscovered Country ,1991
Divine Secrets of the Ya-Ya Sisterhood ,2002
Kiss the Girls ,1997
The Blues Brothers ,1980
The Sisterhood of the Traveling Pants 2 ,2008
Joyful Noise ,2012
About a Boy ,2002
Lake Placid ,1999
The Right Stuff ,1983
Anonymous ,2011
The NeverEnding Story ,1984
Dark City ,1998
The Duchess ,2008
Return to Oz ,1985
The Newton Boys ,1998
The Powerpuff Girls ,0
Case 39 ,2009
Suspect Zero ,2004
Martian Child ,2007
Spy Kids: All the Time in the World in 4D ,2011
Money Monster ,2016
Formula 51 ,2001
Flawless ,1999
Mindhunters ,2004
What Just Happened ,2008
The Statement ,2003
The Magic Flute ,2006
Paul Blart: Mall Cop ,2009
Freaky Friday ,2003
The 40-Year-Old Virgin ,2005
Shakespeare in Love ,1998
A Walk Among the Tombstones ,2014
Kindergarten Cop ,1990
Pineapple Express ,2008
Ever After: A Cinderella Story ,1998
Open Range ,2003
Flatliners ,1990
A Bridge Too Far ,1977
Red Eye ,2005
Final Destination 2 ,2003
"O Brother, Where Art Thou? ",2000
Legion ,2010
Pain & Gain ,2013
In Good Company ,2004
Clockstoppers ,2002
Silverado ,1985
Agent Cody Banks 2: Destination London ,2004
New Year's Eve ,2011
Original Sin ,2001
The Raven ,2012
Welcome to Mooseport ,2004
Highlander: The Final Dimension ,1994
Blood and Wine ,1996
Snow White: A Tale of Terror ,1997
The Curse of the Jade Scorpion ,2001
Accidental Love ,2015
Flipper ,1996
Self/less ,2015
The Constant Gardener ,2005
The Passion of the Christ ,2004
Mrs. Doubtfire ,1993
Rain Man ,1988
Gran Torino ,2008
W. ,2008
Taken ,2008
The Best of Me ,2014
The Bodyguard ,1992
Schindler's List ,1993
The Help ,2011
The Fifth Estate ,2013
Scooby-Doo 2: Monsters Unleashed ,2004
Viy ,2014
Freddy vs. Jason ,2003
The Face of an Angel ,2014
Jimmy Neutron: Boy Genius ,2001
Cloverfield ,2008
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,1991
The Untouchables ,1987
No Country for Old Men ,2007
Ride Along ,2014
Bridget Jones's Diary ,2001
Chocolat ,2000
"Legally Blonde 2: Red, White & Blonde ",2003
Parental Guidance ,2012
No Strings Attached ,2011
Tombstone ,1993
Romeo Must Die ,2000
Final Destination 3 ,2006
The Lucky One ,2012
Bridge to Terabithia ,2007
Finding Neverland ,2004
A Madea Christmas ,2013
The Grey ,2011
Hide and Seek ,2005
Anchorman: The Legend of Ron Burgundy ,2004
Goodfellas ,1990
Agent Cody Banks ,2003
Nanny McPhee ,2005
Scarface ,1983
Nothing to Lose ,1997
The Last Emperor ,1987
Contraband ,2012
Money Talks ,1997
There Will Be Blood ,2007
The Wild Thornberrys Movie ,2002
Rugrats Go Wild ,2003
Undercover Brother ,2002
The Sisterhood of the Traveling Pants ,2005
Kiss of the Dragon ,2001
The House Bunny ,2008
Beauty Shop ,2005
Million Dollar Arm ,2014
The Giver ,2014
What a Girl Wants ,2003
Jeepers Creepers II ,2003
Good Luck Chuck ,2007
Cradle 2 the Grave ,2003
The Hours ,2002
Rogue ,0
She's the Man ,2006
Mr. Bean's Holiday ,2007
Anacondas: The Hunt for the Blood Orchid ,2004
Blood Ties ,2013
August Rush ,2007
Elizabeth ,1998
Bride of Chucky ,1998
Tora! Tora! Tora! ,1970
Spice World ,1997
The Sitter ,2011
Dance Flick ,2009
The Shawshank Redemption ,1994
Crocodile Dundee in Los Angeles ,2001
Kingpin ,1996
August: Osage County ,2013
Ice Princess ,2005
A Lot Like Love ,2005
He Got Game ,1998
Don Juan DeMarco ,1994
Dear John ,2010
The Losers ,2010
Don't Be Afraid of the Dark ,2010
War ,2007
Punch-Drunk Love ,2002
EuroTrip ,2004
Half Past Dead ,2002
Unaccompanied Minors ,2006
"Bright Lights, Big City ",1988
The Adventures of Pinocchio ,1996
The Greatest Game Ever Played ,2005
The Box ,2009
The Ruins ,2008
The Next Best Thing ,2000
The Girl Next Door ,2004
Maximum Risk ,1996
Legend ,2015
Hot Rod ,2007
Shark Night 3D ,2011
Angela's Ashes ,1999
Draft Day ,2014
Lifeforce ,1985
The Conspirator ,2010
Lords of Dogtown ,2005
The 33 ,2015
Big Trouble in Little China ,1986
A Perfect Plan ,2012
Warrior ,2011
Michael Collins ,1996
Gettysburg ,1993
Stop-Loss ,2008
Abandon ,2002
Brokedown Palace ,1999
Mrs. Winterbourne ,1996
Straw Dogs ,2011
The Hoax ,2006
Stone Cold ,1991
The Road ,2009
Sheena ,1984
Underclassman ,2005
Say It Isn't So ,2001
The World's Fastest Indian ,2005
Tank Girl ,1995
King's Ransom ,2005
Blindness ,2008
BloodRayne ,2005
Carnage ,2011
Where the Truth Lies ,2005
The Bachelor ,0
Cirque du Soleil: Worlds Away ,2012
Without Limits ,1998
Me and Orson Welles ,2008
The Best Offer ,2013
Bad Lieutenant: Port of Call New Orleans ,2009
A Turtle's Tale: Sammy's Adventures ,2010
Little White Lies ,2010
Love Ranch ,2010
The True Story of Puss'N Boots ,2009
Space Dogs ,2010
The Counselor ,2013
Ironclad ,2011
Waterloo ,1970
Kung Fu Killer ,2014
Red Sky ,2014
On the Road ,2012
Star Trek IV: The Voyage Home ,1986
Rocky Balboa ,2006
Scream 2 ,1997
Jane Got a Gun ,2016
Think Like a Man Too ,2014
The Whole Nine Yards ,2000
Old School ,2003
The Fisher King ,1991
I Still Know What You Did Last Summer ,1998
Return to Me ,2000
Zack and Miri Make a Porno ,2008
Nurse Betty ,2000
The Men Who Stare at Goats ,2009
Double Take ,2001
"Girl, Interrupted ",1999
Win a Date with Tad Hamilton! ,2004
Muppets from Space ,1999
The Wiz ,1978
Ready to Rumble ,2000
Play It to the Bone ,1999
I Don't Know How She Does It ,2011
Piranha 3D ,2010
Beyond the Sea ,2004
Meet the Deedles ,1998
The Princess and the Cobbler ,1993
The Bridge of San Luis Rey ,2004
Faster ,2010
Howl's Moving Castle ,2004
Zombieland ,2009
The Waterboy ,1998
Star Wars: Episode V - The Empire Strikes Back ,1980
Meet the Browns ,0
Bad Boys ,1995
The Naked Gun 2½: The Smell of Fear ,1991
Final Destination ,2000
The Ides of March ,2011
Pitch Black ,2000
Someone Like You... ,2001
Her ,2013
Joy Ride ,2001
The Adventurer: The Curse of the Midas Box ,2013
Anywhere But Here ,1999
The Crew ,2000
Haywire ,2011
Jaws: The Revenge ,1987
Marvin's Room ,1996
The Longshots ,2008
The End of the Affair ,1999
Harley Davidson and the Marlboro Man ,1991
In the Valley of Elah ,2007
Coco Before Chanel ,2009
Chéri ,2009
Vanity Fair ,2004
Bodyguards and Assassins ,2009
1408 ,2007
Spaceballs ,1987
The Water Diviner ,2014
Ghost ,1990
There's Something About Mary ,1998
The Santa Clause ,1994
The Rookie ,2002
The Game Plan ,2007
The Bridges of Madison County ,1995
The Animal ,2001
Gandhi ,1982
The Hundred-Foot Journey ,2014
The Net ,1995
I Am Sam ,2001
Son of God ,2014
Underworld ,2003
Derailed ,2005
The Informant! ,2009
Shadowlands ,1993
Deuce Bigalow: European Gigolo ,2005
Delivery Man ,2013
Our Kind of Traitor ,2016
Saving Silverman ,2001
Diary of a Wimpy Kid: Dog Days ,2012
Summer of Sam ,1999
Jay and Silent Bob Strike Back ,2001
The Glass House ,2001
Yu-Gi-Oh! Duel Monsters ,0
"Hail, Caesar! ",2016
Josie and the Pussycats ,2001
Homefront ,2013
The Little Vampire ,2000
I Heart Huckabees ,2004
RoboCop 3 ,1993
Megiddo: The Omega Code 2 ,2001
Darling Lili ,1970
Dudley Do-Right ,1999
The Transporter Refueled ,2015
The Libertine ,2004
Black Book ,2006
Joyeux Noel ,2005
Hit and Run ,2012
Mad Money ,2008
Fired Up ,0
Before I Go to Sleep ,2014
Sorcerer ,1977
Stone ,2010
Molière ,2007
Out of the Furnace ,2013
Michael Clayton ,2007
My Fellow Americans ,1996
Arlington Road ,1999
Underdogs ,2013
To Rome with Love ,2012
Firefox ,1982
South Park: Bigger Longer & Uncut ,1999
Teenage Mutant Ninja Turtles III ,1993
Hardball ,2001
Silver Linings Playbook ,2012
Freedom Writers ,2007
For Colored Girls ,2010
The Transporter ,2002
Never Back Down ,2008
The Rage: Carrie 2 ,1999
Away We Go ,2009
Swing Vote ,2008
Moonlight Mile ,2002
Tinker Tailor Soldier Spy ,2011
Molly ,1999
The Beaver ,2011
The Best Little Whorehouse in Texas ,1982
eXistenZ ,1999
Raiders of the Lost Ark ,1981
Home Alone 2: Lost in New York ,1992
Close Encounters of the Third Kind ,1977
Pulse ,2006
Beverly Hills Cop II ,1987
Bringing Down the House ,2003
The Silence of the Lambs ,1991
Wayne's World ,1992
Jackass 3D ,2010
Jaws 2 ,1978
Beverly Hills Chihuahua ,2008
The Conjuring ,2013
Are We There Yet? ,2005
Tammy ,2014
School of Rock ,2003
Mortal Kombat ,1995
White Chicks ,2004
Perception ,0
The Descendants ,2011
Holes ,2003
The Last Song ,2010
12 Years a Slave ,2013
Drumline ,2002
Why Did I Get Married Too? ,2010
Edward Scissorhands ,1990
Me Before You ,2016
Madea's Witness Protection ,2012
Date Movie ,2006
Return to Never Land ,2002
Selma ,2014
The Jungle Book 2 ,2003
Boogeyman ,2005
Premonition ,2007
The Tigger Movie ,2000
Orphan ,2009
Max ,2015
Epic Movie ,2007
Spotlight ,2015
Lakeview Terrace ,2008
The Grudge 2 ,2006
How Stella Got Her Groove Back ,1998
Bill & Ted's Bogus Journey ,1991
Man of the Year ,2006
The Black Hole ,1979
The American ,2010
Selena ,1997
Vampires Suck ,2010
Babel ,2006
This Is Where I Leave You ,2014
Doubt ,2008
Team America: World Police ,2004
Texas Chainsaw 3D ,2013
Copycat ,1995
Scary Movie 5 ,2013
Paint Your Wagon ,1969
Milk ,2008
The Doombolt Chase ,0
Risen ,2016
Ghost Ship ,2002
The Touch ,2007
A Very Harold & Kumar 3D Christmas ,2011
Wild Things ,1998
The Stepfather ,2009
The Debt ,2010
High Fidelity ,2000
Hands of Stone ,2016
One Missed Call ,2008
Eye for an Eye ,1996
The Bank Job ,2008
Eternal Sunshine of the Spotless Mind ,2004
You Again ,2010
Street Kings ,2008
The World's End ,2013
Nancy Drew ,2007
Daybreakers ,2009
She's Out of My League ,2010
Monte Carlo ,2011
Stay Alive ,2006
Quigley Down Under ,1990
Alpha and Omega ,2010
The Covenant ,2006
Stick It ,2006
Shorts ,2009
To Die For ,1995
"Gone, Baby, Gone ",0
Nerve ,2016
Appaloosa ,2008
Vampires ,1998
Psycho ,1960
My Best Friend's Girl ,2008
Endless Love ,2014
Georgia Rule ,2007
Under the Rainbow ,1981
Ladyhawke ,1985
Simon Birch ,1998
Reign Over Me ,2007
Into the Wild ,2007
School for Scoundrels ,2006
Silent Hill: Revelation 3D ,2012
From Dusk Till Dawn ,1996
Pooh's Heffalump Movie ,2005
Home for the Holidays ,1995
Kung Fu Hustle ,2004
The Country Bears ,2002
The Kite Runner ,2007
21 Grams ,2003
Paparazzi ,2004
A Guy Thing ,2003
Loser ,2000
Capitalism: A Love Story ,2009
The Greatest Story Ever Told ,1965
Secret in Their Eyes ,2015
Disaster Movie ,2008
Armored ,2009
The Man Who Knew Too Little ,1997
What's Your Number? ,2011
Lockout ,2012
Envy ,2004
Crank: High Voltage ,2009
Bullets Over Broadway ,1994
One Night with the King ,2006
The Quiet American ,2002
The Weather Man ,2005
Undisputed ,2002
Ghost Town ,2008
12 Rounds ,2009
The O.C. ,0
Let Me In ,2010
3 Ninjas Kick Back ,1994
Be Kind Rewind ,2008
Mrs Henderson Presents ,2005
Triple 9 ,2016
Deconstructing Harry ,1997
Three to Tango ,1999
Burnt ,2015
We're No Angels ,1989
Everyone Says I Love You ,1996
Death Sentence ,2007
Everybody's Fine ,2009
Superbabies: Baby Geniuses 2 ,2004
The Man ,2005
Code Name: The Cleaner ,2007
Connie and Carla ,2004
Sweet Charity ,1969
Inherent Vice ,2014
Doogal ,2006
Battle of the Year ,2013
An American Carol ,2008
Machete Kills ,2013
Willard ,2003
Strange Wilderness ,2008
Topsy-Turvy ,1999
Little Boy ,2015
A Dangerous Method ,2011
A Scanner Darkly ,2006
Chasing Mavericks ,2012
Alone in the Dark ,2005
Bandslam ,2009
Birth ,2004
A Most Violent Year ,2014
Passchendaele ,2008
Flash of Genius ,2008
I'm Not There. ,2007
The Cold Light of Day ,2012
The Brothers Bloom ,2008
"Synecdoche, New York ",2008
Princess Mononoke ,1997
Bon voyage ,2003
Can't Stop the Music ,1980
The Proposition ,2005
Courage ,2015
Marci X ,2003
Equilibrium ,2002
Unforgettable ,0
The Children of Huang Shi ,2008
The Yards ,2000
The Oogieloves in the Big Balloon Adventure ,2012
By the Sea ,2015
Steamboy ,2004
The Game of Their Lives ,2005
Carlos ,0
All Good Things ,2010
Rapa Nui ,1994
CJ7 ,2008
Les couloirs du temps: Les visiteurs II ,1998
Dylan Dog: Dead of Night ,2010
People I Know ,2002
The Tempest ,2010
Regression ,2015
Three Kingdoms: Resurrection of the Dragon ,2008
Shattered ,2007
Zambezia ,2012
Ramanujan ,2014
Dwegons and Leprechauns ,2014
Survivor ,2015
The Frozen Ground ,2013
The Painted Veil ,2006
The Baader Meinhof Complex ,2008
Dances with Wolves ,1990
Bad Teacher ,2011
Sea of Love ,1989
A Cinderella Story ,2004
Scream ,1996
Thir13en Ghosts ,2001
The Shining ,1980
Back to the Future ,1985
House on Haunted Hill ,1999
I Can Do Bad All by Myself ,2009
Fight Valley ,2016
The Switch ,2010
Just Married ,2003
The Devil's Double ,2011
Thomas and the Magic Railroad ,2000
The Crazies ,2010
Spirited Away ,2001
Firestorm ,2013
The Bounty ,1984
The Book Thief ,2013
Sex Drive ,2008
Leap Year ,2010
The Fall of the Roman Empire ,1964
Take Me Home Tonight ,2011
Won't Back Down ,2012
The Nutcracker ,1993
Kansas City ,1996
Indignation ,2016
The Amityville Horror ,2005
Adaptation. ,2002
Land of the Dead ,2005
Out of Inferno ,2013
Fear and Loathing in Las Vegas ,1998
The Invention of Lying ,2009
Neighbors ,2014
The Mask ,1994
Big ,1988
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,2006
Legally Blonde ,2001
Star Trek III: The Search for Spock ,1984
The Exorcism of Emily Rose ,2005
Deuce Bigalow: Male Gigolo ,1999
The Family Stone ,2005
Barbershop 2: Back in Business ,2004
Bad Santa ,2003
Austin Powers: International Man of Mystery ,1997
My Big Fat Greek Wedding 2 ,2016
Diary of a Wimpy Kid: Rodrick Rules ,2011
Predator ,1987
Amadeus ,1984
Prom Night ,2008
Mean Girls ,2004
Under the Tuscan Sun ,2003
Gosford Park ,2001
Peggy Sue Got Married ,1986
Birdman or (The Unexpected Virtue of Ignorance) ,2014
Blue Jasmine ,2013
United 93 ,2006
Honey ,2003
Spy Hard ,1996
Soul Surfer ,2011
Catch-22 ,1970
Observe and Report ,2009
Conan the Destroyer ,1984
Raging Bull ,1980
Love Happens ,2009
Young Sherlock Holmes ,1985
Fame ,2009
The Messengers ,0
127 Hours ,2010
Small Time Crooks ,2000
Center Stage ,2000
Love the Coopers ,2015
Catch That Kid ,2004
Life as a House ,2001
Steve Jobs ,2015
"I Love You, Beth Cooper ",2009
Youth in Revolt ,2009
The Legend of the Lone Ranger ,1981
The Tailor of Panama ,2001
Blow Out ,1981
Getaway ,2013
The Ice Storm ,1997
And So It Goes ,2014
Troop Beverly Hills ,1989
Being Julia ,2004
9½ Weeks ,1986
Dragonslayer ,1981
The Last Station ,2009
Ed Wood ,1994
Labor Day ,2013
Mongol: The Rise of Genghis Khan ,2007
RocknRolla ,2008
Megaforce ,1982
Mao's Last Dancer ,2009
Midnight Special ,2016
Anything Else ,2003
The Railway Man ,2013
The White Ribbon ,2009
Restoration ,2016
The Wraith ,1986
The Salton Sea ,2002
Metallica Through the Never ,2013
The Informers ,2008
I Come with the Rain ,2009
One Man's Hero ,1999
I Am Wrath ,2016
Renaissance ,2006
Red Sonja ,1985
Red Lights ,2012
Lilyhammer ,0
Superbad ,2007
Madea Goes to Jail ,2009
Wolves ,2014
Step Up 2: The Streets ,2008
Hoodwinked! ,2005
Hotel Rwanda ,2004
Hitman ,2007
Black Nativity ,2013
The Prince ,2014
City of Ghosts ,2002
The Others ,2001
Aliens ,1986
My Fair Lady ,1964
I Know What You Did Last Summer ,1997
Scream: The TV Series ,0
Let's Be Cops ,2014
Sideways ,2004
Beerfest ,2006
Good Boy! ,2003
The Best Man Holiday ,2013
Smokin' Aces ,2006
Saw 3D: The Final Chapter ,2010
40 Days and 40 Nights ,2002
A Night at the Roxbury ,1998
Beastly ,2011
The Hills Have Eyes ,2006
Dickie Roberts: Former Child Star ,2003
"McFarland, USA ",2015
Lottery Ticket ,2010
ATL ,2006
Pitch Perfect ,2012
Summer Catch ,2001
A Simple Plan ,1998
They ,2002
Larry the Cable Guy: Health Inspector ,2006
The Adventures of Elmo in Grouchland ,1999
Brooklyn's Finest ,2009
55 Days at Peking ,1963
Evil Dead ,2013
My Life in Ruins ,2009
American Dreamz ,2006
Superman IV: The Quest for Peace ,1987
How She Move ,2007
Running Scared ,2006
Bobby Jones: Stroke of Genius ,2004
Shanghai Surprise ,1986
Roar ,1981
Veronica Guerin ,2003
Escobar: Paradise Lost ,2014
Southland Tales ,2006
Dragon Hunters ,2008
Damnation Alley ,1977
The Apparition ,2012
My Girl ,1991
Fur: An Imaginary Portrait of Diane Arbus ,2006
Wall Street ,1987
Sense and Sensibility ,1995
Becoming Jane ,2007
Sydney White ,2007
House of Sand and Fog ,2003
Dead Poets Society ,1989
Dumb & Dumber ,1994
When Harry Met Sally... ,1989
The Verdict ,1982
Road Trip ,2000
Varsity Blues ,1999
The Artist ,2011
Moonrise Kingdom ,2012
The Texas Chainsaw Massacre: The Beginning ,2006
The Young Messiah ,2016
The Master of Disguise ,2002
Pan's Labyrinth ,2006
See Spot Run ,2001
Baby Boy ,2001
The Roommate ,2011
Joe Dirt ,2001
Double Impact ,1991
Hot Fuzz ,2007
The Women ,2008
Vicky Cristina Barcelona ,2008
Arn: The Knight Templar ,2007
Boys and Girls ,2000
White Oleander ,2002
Jennifer's Body ,2009
Drowning Mona ,2000
Radio Days ,1987
Remember Me ,2010
How to Deal ,2003
My Stepmother Is an Alien ,1988
Philadelphia ,1993
The Thirteenth Floor ,1999
The Cookout ,2004
Meteor ,1979
Duets ,2000
Hollywood Ending ,2002
Detroit Rock City ,1999
Highlander ,1986
Things We Lost in the Fire ,2007
Steel ,1997
The Immigrant ,2013
The White Countess ,2005
Soul Plane ,2004
Welcome to the Sticks ,2008
Good ,2008
Enter the Void ,2009
Vamps ,2012
Hachi: A Dog's Tale ,2009
The Dead Zone ,0
Zulu ,2013
The Homesman ,2014
Juwanna Mann ,2002
Ararat ,2002
Madison ,2001
Slow Burn ,2005
Wasabi ,2001
The Love Letter ,1998
Slither ,2006
Beverly Hills Cop ,1984
Home Alone ,1990
3 Men and a Baby ,1987
Tootsie ,1982
Top Gun ,1986
"Crouching Tiger, Hidden Dragon ",2000
American Beauty ,1999
The King's Speech ,2010
Twins ,1988
The Yellow Handkerchief ,2008
The Color Purple ,1985
Tidal Wave ,2009
The Imitation Game ,2014
Private Benjamin ,1980
Coal Miner's Daughter ,1980
The Company ,0
Diary of a Wimpy Kid ,2010
Mama ,2013
National Lampoon's Vacation ,1983
Bad Grandpa ,2013
The Queen ,2006
Beetlejuice ,1988
Why Did I Get Married? ,2007
Little Women ,1994
The Woman in Black ,2012
When a Stranger Calls ,2006
The Deer Hunter ,1978
Wag the Dog ,1997
The Lizzie McGuire Movie ,2003
Krampus ,2015
The Faculty ,1998
What's Love Got to Do with It ,1993
Cop Land ,1997
Not Another Teen Movie ,2001
End of Watch ,2012
The Skulls ,2000
The Theory of Everything ,2014
Malibu's Most Wanted ,2003
Where the Heart Is ,2000
Lawrence of Arabia ,1962
Wild ,2014
The Wedding Date ,2005
Halloween: Resurrection ,2002
The Princess Bride ,1987
The Great Debaters ,2007
Drive ,2011
Confessions of a Teenage Drama Queen ,2004
The Object of My Affection ,1998
28 Weeks Later ,2007
When the Game Stands Tall ,2014
Because of Winn-Dixie ,2005
Love & Basketball ,2000
Grosse Pointe Blank ,1997
Towering Inferno ,0
All About Steve ,2009
Book of Shadows: Blair Witch 2 ,2000
The Craft ,1996
Match Point ,2005
Ramona and Beezus ,2010
The Remains of the Day ,1993
Boogie Nights ,1997
Nowhere to Run ,1993
Flicka ,2006
Ghost Hunters ,0
The Hills Have Eyes II ,2007
Urban Legends: Final Cut ,2000
Tuck Everlasting ,2002
The Marine ,2006
Keanu ,2016
Country Strong ,2010
Disturbing Behavior ,1998
The Place Beyond the Pines ,2012
The November Man ,2014
Eye of the Beholder ,1999
The Hurt Locker ,2008
Firestarter ,1984
Killing Them Softly ,2012
A Most Wanted Man ,2014
Freddy Got Fingered ,2001
The Pirates Who Don't Do Anything: A VeggieTales Movie ,2008
U2 3D ,2007
Highlander: Endgame ,2000
Idlewild ,2006
One Day ,2011
Whip It ,2009
Knockaround Guys ,2001
Confidence ,2003
The Muse ,1999
De-Lovely ,2004
New York Stories ,1989
Barney's Great Adventure ,1998
The Man with the Iron Fists ,2012
Home Fries ,1998
Here on Earth ,2000
Brazil ,1985
Raise Your Voice ,2004
The Big Lebowski ,1998
Black Snake Moan ,2006
Dark Blue ,2002
A Mighty Heart ,2007
Whatever It Takes ,2000
Boat Trip ,2002
The Importance of Being Earnest ,2002
Hoot ,2006
In Bruges ,2008
Peeples ,2013
The Rocker ,2008
Post Grad ,2009
Promised Land ,2012
Whatever Works ,2009
The In Crowd ,2000
Three Burials ,2005
Dekalog ,0
Jakob the Liar ,1999
Kiss Kiss Bang Bang ,2005
Idle Hands ,1999
The Border ,0
Mulholland Drive ,2001
Blood and Chocolate ,2007
You Will Meet a Tall Dark Stranger ,2010
Never Let Me Go ,2010
Transsiberian ,2008
The Clan of the Cave Bear ,1986
Crazy in Alabama ,1999
Funny Games ,2007
Listening ,2014
Felicia's Journey ,1999
Metropolis ,1927
District B13 ,2004
Things to Do in Denver When You're Dead ,1995
The Assassin ,2015
Buffalo Soldiers ,2001
The Return ,2003
Ong-bak 2 ,2008
Centurion ,2010
Silent Trigger ,1996
The Midnight Meat Train ,2008
Winnie Mandela ,2011
The Son of No One ,2011
All the Queen's Men ,2001
The Good Night ,2007
Bathory: Countess of Blood ,2008
Khumba ,2013
Automata ,2014
Dungeons & Dragons: Wrath of the Dragon God ,2005
Chiamatemi Francesco - Il Papa della gente ,2015
Shinjuku Incident ,2009
Pandaemonium ,2000
Groundhog Day ,1993
Magic Mike XXL ,2015
Romeo Juliet ,1996
Sarah's Key ,2010
Freedom ,2014
Unforgiven ,1992
Manderlay ,2005
Slumdog Millionaire ,2008
Fatal Attraction ,1987
Pretty Woman ,1990
Del 1 - Män som hatar kvinnor ,0
Crocodile Dundee II ,1988
Broken Horses ,2015
Born on the Fourth of July ,1989
Cool Runnings ,1993
